accessionNumber,Insider,Relation,Last Date,Transaction,Owner Type,Shares Traded,Price,Shares Held
000112760223008015,HEWSON MARILLYN A,Director,2023-02-27,Discretionary Transaction,Direct,231,162.82,2376
000112760223007392,Moyo Dambisa F,Director,2023-02-13,Gift,Direct,56,0,12483
000112760223004269,MORRIS RHONDA J,Vice President,2023-02-07,Exercise or Conversion of Derivative Security,Direct,19666,0,9834
000112760223003190,Pate R. Hewitt,VP and General Counsel,2023-01-31,Exercise or Conversion of Derivative Security,Direct,6936,0,0
000112760223003188,NELSON MARK A,Vice Chairman and EVP,2023-01-31,Exercise or Conversion of Derivative Security,Direct,4773,0,0
000112760223003184,MORRIS RHONDA J,Vice President,2023-01-31,Exercise or Conversion of Derivative Security,Direct,3323,0,0
000112760223003180,INCHAUSTI DAVID A,Vice Pres. and Controller,2023-01-31,Exercise or Conversion of Derivative Security,Direct,872,0,0
000112760223003176,JOHNSON JAMES WILLIAM,Executive Vice President,2023-01-31,Exercise or Conversion of Derivative Security,Direct,11838,0,0
000112760223003171,GUSTAVSON JEFF B,Vice President,2023-01-31,Exercise or Conversion of Derivative Security,Direct,2038,0,0
000112760223003167,HEARNE ANDREW NIGEL,Executive Vice President,2023-01-31,Exercise or Conversion of Derivative Security,Direct,2668,0,0
000112760223003162,Breber Pierre R,VP & Chief Financial Officer,2023-01-31,Exercise or Conversion of Derivative Security,Direct,9120,0,0
000112760223003155,BONNER EIMEAR P,Vice President,2023-01-31,Exercise or Conversion of Derivative Security,Direct,1404,0,0
000112760223003153,Wirth Michael K,Director,2023-01-31,Exercise or Conversion of Derivative Security,Direct,31383,0,0
000112760223002468,Pate R. Hewitt,VP and General Counsel,2023-01-25,Award/Acquisition (Non Open Market),Direct,23000,0,23000
000112760223002466,NELSON MARK A,Executive Vice President,2023-01-25,Award/Acquisition (Non Open Market),Direct,23000,0,23000
000112760223002464,MORRIS RHONDA J,Vice President,2023-01-25,Award/Acquisition (Non Open Market),Direct,12200,0,12200
000112760223002462,INCHAUSTI DAVID A,Vice Pres. and Controller,2023-01-25,Award/Acquisition (Non Open Market),Direct,8700,0,8700
000112760223002453,HEARNE ANDREW NIGEL,Executive Vice President,2023-01-25,Award/Acquisition (Non Open Market),Direct,30100,0,30100
000112760223002445,GUSTAVSON JEFF B,Vice President,2023-01-25,Award/Acquisition (Non Open Market),Direct,8700,0,8700
000112760223002440,Breber Pierre R,VP & Chief Financial Officer,2023-01-25,Award/Acquisition (Non Open Market),Direct,23000,0,23000
000112760223002433,BONNER EIMEAR P,Vice President,2023-01-25,Award/Acquisition (Non Open Market),Direct,17400,0,17400
000112760223002426,Wirth Michael K,Director,2023-01-25,Award/Acquisition (Non Open Market),Direct,92800,0,92800
000112760222028032,JOHNSON JAMES WILLIAM,Executive Vice President,2022-12-16,Exercise or Conversion of Derivative Security,Direct,623,0,15369
000112760222028030,NELSON MARK A,Executive Vice President,2022-12-16,Exercise or Conversion of Derivative Security,Direct,548,0,11764
000112760222028028,Pate R. Hewitt,VP and General Counsel,2022-12-16,Exercise or Conversion of Derivative Security,Direct,68,0,6936
000112760222028026,Wirth Michael K,Director,2022-12-16,Exercise or Conversion of Derivative Security,Direct,2124,0,45573
000112760222028023,INCHAUSTI DAVID A,Vice Pres. and Controller,2022-12-16,Exercise or Conversion of Derivative Security,Direct,197,0,4243
000112760222028021,HEARNE ANDREW NIGEL,Executive Vice President,2022-12-16,Exercise or Conversion of Derivative Security,Direct,24,0,2668
000112760222028019,Breber Pierre R,VP & Chief Financial Officer,2022-12-16,Exercise or Conversion of Derivative Security,Direct,91,0,9120
000112760222028017,MORRIS RHONDA J,Vice President,2022-12-16,Exercise or Conversion of Derivative Security,Direct,30,0,3323
000112760222026773,Moyo Dambisa F,Director,2022-11-28,Gift,Direct,917,0,12787
000112760222026769,JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-30,Exercise or Conversion of Derivative Security,Direct,37300,0,0
000112760222026572,JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-28,Exercise or Conversion of Derivative Security,Direct,50800,0,0
000112760222026568,Breber Pierre R,VP & Chief Financial Officer,2022-11-28,Exercise or Conversion of Derivative Security,Direct,25000,0,36300
000112760222026564,WARNER CYNTHIA J,Director,2022-11-28,Discretionary Transaction,Direct,21,178.36,31
000112760222026562,MOORMAN CHARLES W,Director,2022-11-28,Discretionary Transaction,Direct,246,178.36,14256
000112760222026560,HEWSON MARILLYN A,Director,2022-11-28,Discretionary Transaction,Direct,211,178.36,2128
000112760222026558,Pate R. Hewitt,VP and General Counsel,2022-11-22,Gift,Indirect,3870,0,8732
000112760222026268,GAST ALICE P,Director,2022-11-21,Sale,Direct,2706,179.44,21964
000112760222025148,Wirth Michael K,Director,2022-11-04,Exercise or Conversion of Derivative Security,Direct,55380,0,34620
000112760222025036,Pate R. Hewitt,VP and General Counsel,2022-11-03,Exercise or Conversion of Derivative Security,Direct,11825,0,35475
000112760222024888,Breber Pierre R,VP & Chief Financial Officer,2022-11-01,Exercise or Conversion of Derivative Security,Direct,25000,0,61300
000112760222024883,JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-01,Exercise or Conversion of Derivative Security,Direct,28500,0,40200
000112760222021775,WARNER CYNTHIA J,Director,2022-08-26,Discretionary Transaction,Direct,10,163.41,10
000112760222021773,MOORMAN CHARLES W,Director,2022-08-26,Discretionary Transaction,Direct,268,163.41,13891
000112760222021771,HEWSON MARILLYN A,Director,2022-08-26,Discretionary Transaction,Direct,229,163.41,1903
000112760222021769,Breber Pierre R,VP & Chief Financial Officer,2022-08-26,Discretionary Transaction,Direct,32,163.41,57523
000112760222021724,JOHNSON JAMES WILLIAM,Executive Vice President,2022-08-25,Exercise or Conversion of Derivative Security,Direct,30000,0,50800
000112760222021603,Breber Pierre R,VP & Chief Financial Officer,2022-08-23,Exercise or Conversion of Derivative Security,Direct,22500,0,0
000112760222020953,Breber Pierre R,VP & Chief Financial Officer,2022-08-11,Exercise or Conversion of Derivative Security,Direct,22500,0,22500
000112760222020296,Austin Wanda M,Director,2022-08-01,Exercise or Conversion of Derivative Security,Direct,11432,0,0
000112760222017459,WARNER CYNTHIA J,Director,2022-06-13,Award/Acquisition (Non Open Market),Direct,1275,167.33,1275
000112760222016201,MOORMAN CHARLES W,Director,2022-05-27,Discretionary Transaction,Direct,245,178.28,13515
000112760222016196,HEWSON MARILLYN A,Director,2022-05-27,Discretionary Transaction,Direct,210,178.28,1661
000112760222016194,Breber Pierre R,VP & Chief Financial Officer,2022-05-27,Discretionary Transaction,Direct,14,178.28,57028
000112760222016192,Austin Wanda M,Director,2022-05-27,Exercise or Conversion of Derivative Security,Direct,12039,0,0
000112760222016034,JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-26,Exercise or Conversion of Derivative Security,Direct,270000,0,0
000112760222015896,Geagea Joseph C,Executive Vice President,2022-05-25,Exercise or Conversion of Derivative Security,Direct,40000,0,0
000112760222015893,Umpleby III Donald J,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,10509
000112760222015890,SUGAR RONALD D,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,57483
000112760222015888,REED DEBRA L,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,9434
000112760222015886,Moyo Dambisa F,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,13655
000112760222015883,MOORMAN CHARLES W,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,39526
000112760222015876,Huntsman Jon M Jr,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,5668
000112760222015871,HEWSON MARILLYN A,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,7866
000112760222015864,HERNANDEZ ENRIQUE JR,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,5816,0,0
000112760222015860,GAST ALICE P,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,24316
000112760222015858,Frank John,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,11915
000112760222015856,Austin Wanda M,Director,2022-05-25,Award/Acquisition (Non Open Market),Direct,1303,0,3543
000112760222015800,Pate R. Hewitt,VP and General Counsel,2022-05-24,Exercise or Conversion of Derivative Security,Direct,91300,0,0
000112760222014987,HERNANDEZ ENRIQUE JR,Director,2022-05-16,Exercise or Conversion of Derivative Security,Direct,12780,0,0
000112760222014760,MORRIS RHONDA J,Vice President,2022-05-13,Exercise or Conversion of Derivative Security,Direct,15000,0,0
000112760222014754,Geagea Joseph C,Executive Vice President,2022-05-13,Exercise or Conversion of Derivative Security,Direct,10000,0,50000
000112760222014422,INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-11,Exercise or Conversion of Derivative Security,Direct,5600,0,0
000112760222014288,NELSON MARK A,Executive Vice President,2022-05-10,Exercise or Conversion of Derivative Security,Direct,47700,0,0
000112760222014037,Geagea Joseph C,Executive Vice President,2022-05-06,Exercise or Conversion of Derivative Security,Direct,10000,0,60000
000112760222014029,INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-06,Exercise or Conversion of Derivative Security,Direct,9500,0,0
000112760222014027,PARFITT COLIN E,Vice President,2022-05-06,Exercise or Conversion of Derivative Security,Direct,47700,0,0
000112760222014025,BONNER EIMEAR P,Vice President,2022-05-06,Sale,Indirect,478,169.2111,358
000112760222013729,Geagea Joseph C,Executive Vice President,2022-05-04,Exercise or Conversion of Derivative Security,Direct,10000,0,70000
000112760222013705,BONNER EIMEAR P,Vice President,2022-05-04,Exercise or Conversion of Derivative Security,Direct,5600,0,0
000112760222013565,JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-03,Exercise or Conversion of Derivative Security,Direct,109000,0,55600
000112760222013560,HERNANDEZ ENRIQUE JR,Director,2022-05-03,Exercise or Conversion of Derivative Security,Direct,5805,0,0
000112760222013536,INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-03,Exercise or Conversion of Derivative Security,Direct,4700,0,0
000112760222007720,PARFITT COLIN E,Vice President,2022-03-01,Exercise or Conversion of Derivative Security,Direct,9000,0,0
000112760222007713,MOORMAN CHARLES W,Director,2022-02-28,Discretionary Transaction,Direct,303,144.00,13163
000112760222007705,HEWSON MARILLYN A,Director,2022-02-28,Discretionary Transaction,Direct,260,144.00,1441
000112760222007695,Breber Pierre R,VP & Chief Financial Officer,2022-02-28,Discretionary Transaction,Direct,11,144.00,56544
000112760222007454,PARFITT COLIN E,Vice President,2022-02-25,Exercise or Conversion of Derivative Security,Direct,9000,0,9000
000112760222007426,Geagea Joseph C,Executive Vice President,2022-02-25,Exercise or Conversion of Derivative Security,Direct,40000,0,0
000112760222007393,Wirth Michael K,Director,2022-02-25,Exercise or Conversion of Derivative Security,Direct,3000,0,0
000112760222006655,PARFITT COLIN E,Vice President,2022-02-22,Exercise or Conversion of Derivative Security,Direct,15500,0,0
000112760222006651,MORRIS RHONDA J,Vice President,2022-02-22,Exercise or Conversion of Derivative Security,Direct,9600,0,0
000112760222006649,Breber Pierre R,VP & Chief Financial Officer,2022-02-22,Exercise or Conversion of Derivative Security,Direct,18500,0,0
000112760222005344,Wirth Michael K,Director,2022-02-14,Exercise or Conversion of Derivative Security,Direct,90000,0,0
000112760222005017,JOHNSON JAMES WILLIAM,Executive Vice President,2022-02-11,Exercise or Conversion of Derivative Security,Direct,25433,0,80867
000112760222005007,Geagea Joseph C,Executive Vice President,2022-02-11,Exercise or Conversion of Derivative Security,Direct,14000,0,40000
000112760222004314,Breber Pierre R,VP & Chief Financial Officer,2022-02-09,Exercise or Conversion of Derivative Security,Direct,18500,0,18500
000112760222003981,Pate R. Hewitt,VP and General Counsel,2022-02-07,Exercise or Conversion of Derivative Security,Direct,125300,0,0
000112760222003974,NELSON MARK A,Executive Vice President,2022-02-07,Exercise or Conversion of Derivative Security,Direct,29500,0,0
000112760222003962,JOHNSON JAMES WILLIAM,Executive Vice President,2022-02-07,Exercise or Conversion of Derivative Security,Direct,41700,0,270000
000112760222003021,Pate R. Hewitt,VP and General Counsel,2022-01-31,Exercise or Conversion of Derivative Security,Direct,7380,0,0
000112760222003018,PARFITT COLIN E,Vice President,2022-01-31,Exercise or Conversion of Derivative Security,Direct,2828,0,0
000112760222003013,NELSON MARK A,Executive Vice President,2022-01-31,Exercise or Conversion of Derivative Security,Direct,2815,0,0
000112760222003010,MORRIS RHONDA J,Vice President,2022-01-31,Exercise or Conversion of Derivative Security,Direct,3539,0,0
000112760222003005,INCHAUSTI DAVID A,Vice Pres. and Controller,2022-01-31,Exercise or Conversion of Derivative Security,Direct,914,0,0
000112760222002999,JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-31,Exercise or Conversion of Derivative Security,Direct,12598,0,0
000112760222002993,Geagea Joseph C,Executive Vice President,2022-01-31,Exercise or Conversion of Derivative Security,Direct,9687,0,0
000112760222002989,Breber Pierre R,VP & Chief Financial Officer,2022-01-31,Exercise or Conversion of Derivative Security,Direct,9697,0,0
000112760222002986,BONNER EIMEAR P,Vice President,2022-01-31,Exercise or Conversion of Derivative Security,Direct,1361,0,0
000112760222002984,Wirth Michael K,Director,2022-01-31,Exercise or Conversion of Derivative Security,Direct,12598,0,0
000112760222002425,Pate R. Hewitt,VP and General Counsel,2022-01-27,Exercise or Conversion of Derivative Security,Direct,43100,0,43100
000112760222002424,INCHAUSTI DAVID A,Vice Pres. and Controller,2022-01-26,Award/Acquisition (Non Open Market),Direct,15900,0,15900
000112760222002421,MORRIS RHONDA J,Vice President,2022-01-26,Award/Acquisition (Non Open Market),Direct,22900,0,22900
000112760222002420,PARFITT COLIN E,Vice President,2022-01-26,Award/Acquisition (Non Open Market),Direct,15900,0,15900
000112760222002418,BONNER EIMEAR P,Vice President,2022-01-26,Award/Acquisition (Non Open Market),Direct,32100,0,32100
000112760222002416,NELSON MARK A,Executive Vice President,2022-01-26,Award/Acquisition (Non Open Market),Direct,43100,0,43100
000112760222002415,JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-26,Award/Acquisition (Non Open Market),Direct,56300,0,56300
000112760222002414,Breber Pierre R,VP & Chief Financial Officer,2022-01-26,Award/Acquisition (Non Open Market),Direct,43100,0,43100
000112760222002405,Wirth Michael K,Director,2022-01-26,Award/Acquisition (Non Open Market),Direct,169800,0,169800
000112760222001943,Pate R. Hewitt,VP and General Counsel,2022-01-20,Exercise or Conversion of Derivative Security,Direct,54472,0,0
000112760222001715,JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-18,Exercise or Conversion of Derivative Security,Direct,23000,0,0
000112760222001698,Pate R. Hewitt,VP and General Counsel,2022-01-18,Exercise or Conversion of Derivative Security,Direct,200,0,77300
000112760222001473,JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-11,Exercise or Conversion of Derivative Security,Direct,20000,0,27000
000112760222001335,JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-07,Exercise or Conversion of Derivative Security,Direct,17000,0,43000
000112760222001104,JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-04,Exercise or Conversion of Derivative Security,Direct,7500,0,62500
